alpha;beta;L_z_base;L_h_base;L_z_shock;L_h_shock
0.5;0.65;0.13473613;0.156483891;0.202104195;0.13402787
0.55;0.65;0.124931948;0.152142514;0.187397921;0.132756522
0.6;0.65;0.116716855;0.146495741;0.175075282;0.129821905
0.65;0.65;0.109790764;0.139388025;0.164686147;0.125155889
0.7;0.65;0.103940454;0.130568677;0.15591068;0.118575548
0.75;0.65;0.099017249;0.119661772;0.148525873;0.109760047
0.8;0.65;0.094924718;0.106112274;0.142387077;0.098201881
0.85;0.65;0.091614344;0.08909167;0.137421515;0.083116822
0.2;0.7;0.243638121;0.158254178;0.365457182;0.104112373
0.25;0.7;0.205632534;0.163357826;0.308448802;0.119293711
0.3;0.7;0.17816693;0.165759551;0.267250395;0.129078125
0.35;0.7;0.157426324;0.166257841;0.236139486;0.135249626
0.4;0.7;0.141244985;0.165269833;0.211867478;0.138786398
0.45;0.7;0.128303673;0.163007213;0.19245551;0.140243658
0.5;0.7;0.117754655;0.159555009;0.176631983;0.139929233
0.55;0.7;0.109030439;0.154907208;0.163545658;0.137988691
0.6;0.7;0.101739404;0.148979806;0.152609106;0.134445605
0.65;0.7;0.09560589;0.141609078;0.143408835;0.129215722
0.7;0.7;0.090434649;0.132536666;0.135651973;0.122101898
0.75;0.7;0.086089694;0.121378713;0.129134541;0.112769743
0.8;0.7;0.082482563;0.10757101;0.123723845;0.100697463
0.85;0.7;0.079567947;0.090273144;0.11935192;0.08508393
0.2;0.75;0.211625091;0.164952289;0.317437636;0.117924491
0.25;0.75;0.177441745;0.169155125;0.266162617;0.131131894
0.3;0.75;0.153016179;0.17083233;0.229524268;0.139328999
0.35;0.75;0.134723439;0.170737607;0.202085159;0.144201172
0.4;0.75;0.120541809;0.169254218;0.180812713;0.146652629
0.45;0.75;0.109256053;0.166569118;0.16388408;0.14718498
0.5;0.75;0.100093288;0.162749086;0.150139932;0.146066872
0.55;0.75;0.092540317;0.15777424;0.138810476;0.143414536
0.6;0.75;0.086245261;0.151549567;0.129367891;0.139228815
